Country,Sub-Region,Region,Size,Updated
Oman,Western Asia,Asia,17.7 MB,"September 2, 2020, 08:34:29 (UTC+02:00)"
Pakistan,Southern Asia,Asia,50.8 MB,"September 2, 2020, 08:34:33 (UTC+02:00)"
Panama,Latin America and the Caribbean,Americas,1.2 MB,"September 2, 2020, 08:35:35 (UTC+02:00)"
Papua New Guinea,Melanesia,Oceania,15.6 MB,"September 2, 2020, 08:36:03 (UTC+02:00)"
Paraguay,Latin America and the Caribbean,Americas,23.3 MB,"September 2, 2020, 08:36:00 (UTC+02:00)"
Peru,Latin America and the Caribbean,Americas,56.6 MB,"September 2, 2020, 08:36:28 (UTC+02:00)"
Philippines,South-eastern Asia,Asia,12.9 MB,"September 15, 2020, 04:33:19 (UTC+02:00)"
Poland,Eastern Europe,Europe,27.2 MB,"September 2, 2020, 08:36:51 (UTC+02:00)"
Romania,Eastern Europe,Europe,18.1 MB,"September 2, 2020, 08:37:14 (UTC+02:00)"
Russia,Eastern Europe,Europe,778.6 MB,"September 15, 2020, 04:33:35 (UTC+02:00)"
Rwanda,Sub-Saharan Africa,Africa,1.2 MB,"September 2, 2020, 08:38:13 (UTC+02:00)"
Saudi Arabia,Western Asia,Asia,107.2 MB,"September 2, 2020, 08:38:12 (UTC+02:00)"
South Korea,Eastern Asia,Asia,6.4 MB,"September 2, 2020, 08:38:32 (UTC+02:00)"
Spain,Southern Europe,Europe,36.2 MB,"September 2, 2020, 08:38:23 (UTC+02:00)"
Sudan,Northern Africa,Africa,89.0 MB,"September 2, 2020, 08:38:33 (UTC+02:00)"
Suriname,Latin America and the Caribbean,Americas,7.1 MB,"September 2, 2020, 08:39:42 (UTC+02:00)"
Switzerland,Western Europe,Europe,3.1 MB,"September 2, 2020, 08:39:37 (UTC+02:00)"
Syria,Western Asia,Asia,11.8 MB,"September 2, 2020, 08:40:02 (UTC+02:00)"
Tajikistan,Central Asia,Asia,9.5 MB,"September 2, 2020, 08:40:09 (UTC+02:00)"
Thailand,South-eastern Asia,Asia,28.3 MB,"September 2, 2020, 08:40:14 (UTC+02:00)"
Tunisia,Northern Africa,Africa,9.8 MB,"September 2, 2020, 08:40:42 (UTC+02:00)"
Turkey,Western Asia,Asia,53.8 MB,"September 2, 2020, 08:40:47 (UTC+02:00)"
Turkmenistan,Central Asia,Asia,32.2 MB,"September 2, 2020, 08:41:40 (UTC+02:00)"
Uganda,Sub-Saharan Africa,Africa,11.4 MB,"September 2, 2020, 08:42:11 (UTC+02:00)"
Ukraine,Eastern Europe,Europe,44.8 MB,"September 2, 2020, 08:42:21 (UTC+02:00)"
United Arab Emirates,Western Asia,Asia,4.0 MB,"September 2, 2020, 08:43:48 (UTC+02:00)"
United Kingdom,Northern Europe,Europe,18.8 MB,"September 2, 2020, 08:43:48 (UTC+02:00)"
United States,Northern America,Americas,380.1 MB,"September 2, 2020, 20:06:08 (UTC+02:00)"
Uruguay,Latin America and the Caribbean,Americas,11.3 MB,"September 2, 2020, 08:45:04 (UTC+02:00)"
Uzbekistan,Central Asia,Asia,30.4 MB,"September 2, 2020, 08:44:37 (UTC+02:00)"
Venezuela,Latin America and the Caribbean,Americas,32.5 MB,"September 2, 2020, 08:44:42 (UTC+02:00)"
Vietnam,South-eastern Asia,Asia,18.0 MB,"September 2, 2020, 08:45:04 (UTC+02:00)"
Yemen,Western Asia,Asia,23.5 MB,"September 2, 2020, 08:45:18 (UTC+02:00)"
Zambia,Sub-Saharan Africa,Africa,41.5 MB,"September 2, 2020, 08:45:19 (UTC+02:00)"
Zimbabwe,Sub-Saharan Africa,Africa,22.3 MB,"September 2, 2020, 08:45:57 (UTC+02:00)"
